Id,Iso639 3,Iso639 1,Eng name,Epo name,Deu name,Fra name,Spa name,Zho name,Rus name,Own name,Language type,Num users,Abbrev
2783,kan,kn,Kannada,kanara,Kannada,kannada,canarés,卡纳达语,каннада,ಕನ್ನಡ,L,17,
5388,que,qu,Quechua,keĉua,Quechua,quechua,quechua,克丘亞語,кечуа,qhichwa,L,16,
4520,nep,ne,Nepali (macrolanguage),nepala,Nepali,népalais,nepalí,尼泊尔语,непали,नेपाली,L,16,
2670,jav,jv,Javanese,java,Javanisch,javanais,javanés,爪哇语,яванский,basa Jawa,L,16,
2795,kaz,kk,Kazakh,kazaĥa,Kasachisch,kazakh,kazaj(i)o,哈萨克语,казахский,Қазақша,L,16,
8186,zlm,"",Malay (individual language),malaja,"","","","","","",L,15,""
3755,mal,ml,Malayalam,malajala,Malajalam,malayalam,malayalam,马拉雅拉姆语,малаялам,മലയാളം,L,15,
624,ben,bn,Bengali,bengala,Bengalisch,bengali,bengalí,孟加拉语,бенгальский,বাংলা,L,15,
3500,ldn,"",Láadan,Laadano,Láadan,Láadan,Láadan,拉丹語,Лаадан,Láadan,C,15,
3706,ltz,lb,Luxembourgish,luksemburga,Luxemburgisch,luxembourgeois,luxemburgués,卢森堡语,люксембургский,Lëtzebuergesch,L,15,
871,bod,bo,Tibetan,tibeta,Tibetisch,tibétain,tibetano,,тибетский,བོད་ཡིག,L,15,
4113,mon,mn,Mongolian,mongola,"",mongol,mongol,蒙古语,Монгольский язык,монгол,L,14,
7630,qhv,"",High Valyrian,altvaliria,Hochvalyrisch,haut valyrien,alto valirio,高地瓦雷利亞語言,высокий валирийский,Eglie Valyria,C,14,
6120,tat,tt,Tatar,tatara,Tatarisch,tatar,tártaro,鞑靼语,татарский,Tatarça,L,14,
8191,zsm,"",Standard Malay,malajzia,Malaysische Sprache,Malaisien,"",标准马来语,Малайский язык,Bahasa Melayu Baku,L,14,""
